round,loss,accuracy,precision,recall,f1
1,1.3231420516967773,0.6433888673782349,0.6433888673782349,1.0,0.7830025870926816
2,2.006025791168213,0.6433888673782349,0.6433888673782349,1.0,0.7830025870926816
3,0.9541680216789246,0.6465792059898376,0.6454480886459351,1.0,0.7845256171856316
4,0.1942611038684845,0.9280397295951843,0.9914634227752686,0.8958677649497986,0.9412445747392022
5,0.560232937335968,0.7376816868782043,0.9895263910293579,0.5986225605010986,0.7459663293050328
6,0.6331622004508972,0.7040056586265564,0.9885343909263611,0.5462809801101685,0.7036905495455951
7,0.6995108127593994,0.6515420079231262,0.9882628917694092,0.46391183137893677,0.6314210551890403
8,0.6760829091072083,0.654909610748291,0.9900990128517151,0.4683195650577545,0.6358705876161845
9,0.4527904987335205,0.7812832593917847,0.9946325421333313,0.6636363863945007,0.7961004812865146
10,0.7035188674926758,0.6077632308006287,0.9882839322090149,0.3950413167476654,0.5644558084873585
11,0.9790297150611877,0.5531726479530334,0.9876868724822998,0.3093664050102234,0.4711558766596639
12,1.0957627296447754,0.5251683592796326,0.9798183441162109,0.2674930989742279,0.42025533679071364
13,1.1766496896743774,0.522509753704071,0.9854771494865417,0.26170799136161804,0.4135829346868319
14,1.567313551902771,0.46490606665611267,0.9903692007064819,0.16997244954109192,0.29014812828310954
15,1.043797492980957,0.5630981922149658,0.9899075031280518,0.32424241304397583,0.4884830772420949
16,0.9309348464012146,0.5795817375183105,0.9898753762245178,0.35013774037361145,0.5172975147625731
17,1.4117873907089233,0.48351648449897766,0.9904109835624695,0.19917355477809906,0.3316513789975563
18,1.107427954673767,0.5108117461204529,0.9769737124443054,0.2454545497894287,0.3923381848288327
19,1.3030352592468262,0.4991137981414795,0.9763033390045166,0.2269972413778305,0.36835046590199644
20,1.7237809896469116,0.4516128897666931,0.9855072498321533,0.14986225962638855,0.26016260276087194
