round,loss,accuracy,precision,recall,f1
1,0.6424203515052795,0.7290779948234558,0.7290779948234558,1.0,0.843314179008908
2,0.4620944857597351,0.7347517609596252,0.7332382202148438,1.0,0.8460905277336374
3,0.26402390003204346,0.957446813583374,0.9489796161651611,0.9951362013816833,0.971509991221489
4,0.15852303802967072,0.9673758745193481,0.9785575270652771,0.9766536951065063,0.977604684184469
5,0.11370473355054855,0.9709219932556152,0.9786614775657654,0.981517493724823,0.9800874050117346
6,0.09308581799268723,0.9716312289237976,0.9852652549743652,0.975680947303772,0.9804496790397225
7,0.0854075625538826,0.9723404049873352,0.9852796792984009,0.9766536951065063,0.9809477243762309
8,0.085706427693367,0.9709219932556152,0.9862068891525269,0.9737353920936584,0.9799314613324376
9,0.07934314012527466,0.9730496406555176,0.9872047305107117,0.975680947303772,0.9814090117768843
10,0.07403344660997391,0.9744681119918823,0.9872298836708069,0.9776264429092407,0.9824046943795459
11,0.06678051501512527,0.9780141711235046,0.9853943586349487,0.9844357967376709,0.9849148444578488
12,0.08374843001365662,0.9716312289237976,0.9891089200973511,0.9717898964881897,0.9803729258714854
13,0.07341425120830536,0.9737588763237,0.9891411662101746,0.9747081995010376,0.9818716465760258
14,0.06837476044893265,0.9751772880554199,0.9891625642776489,0.9766536951065063,0.982868331514808
15,0.06664976477622986,0.9758865237236023,0.9882121682167053,0.9785992503166199,0.9833822173879591
16,0.08992647379636765,0.9687943458557129,0.9910179376602173,0.9659532904624939,0.978325101599517
17,0.06356991827487946,0.9758865237236023,0.9872549176216125,0.9795719981193542,0.9833984521646926
18,0.07902173697948456,0.9709219932556152,0.9910447597503662,0.9688715934753418,0.9798327505195795
19,0.07142531126737595,0.9723404049873352,0.991062581539154,0.9708171486854553,0.9808354046947981
20,0.06527942419052124,0.9758865237236023,0.990138053894043,0.9766536951065063,0.9833496499998914
